numbers,metrics,run
3.991859011,f1,r
4.080810774,f1,r
4.049829795,f1,r
4.048134395,f1,r
4.028765601,f1,r
3.957947333,f1,r
4.018328191,f1,r
4.084957822,f1,r
3.99549968,f1,r
4.022647879,f1,r
1.232428403,i1,r
1.792158282,i1,r
1.720694027,i1,r
1.579553042,i1,r
1.608358681,i1,r
1.143050175,i1,r
1.284759223,i1,r
1.415602717,i1,r
1.646028015,i1,r
1.666204318,i1,r
6.658690865,mfp1,r
5.384745494,mfp1,r
5.627655366,mfp1,r
6.430674592,mfp1,r
7.094640805,mfp1,r
1.636733193,mfp1,r
6.995694723,mfp1,r
6.187977736,mfp1,r
6.000012182,mfp1,r
5.600954529,mfp1,r
6.688109374,r1,r
5.393962462,r1,r
5.562106508,r1,r
6.440647069,r1,r
7.108042246,r1,r
5.722937719,r1,r
7.015671705,r1,r
6.163859291,r1,r
5.990081705,r1,r
5.605751168,r1,r
6.914305185,p1,r
7.455512624,p1,r
7.457297874,p1,r
9.435421608,p1,r
7.461520156,p1,r
8.612548368,p1,r
8.211438571,p1,r
7.69984511,p1,r
8.416404251,p1,r
7.351270526,p1,r
2.211430844,f2,r
2.089054609,f2,r
2.575844243,f2,r
2.257374731,f2,r
2.279011462,f2,r
2.561176195,f2,r
2.306775514,f2,r
1.825081056,f2,r
2.442499623,f2,r
2.046058068,f2,r
0.6857546795,i2,r
0.7729278677,i2,r
0.6721212042,i2,r
0.7651555045,i2,r
0.6762840167,i2,r
0.7500911475,i2,r
0.6800988808,i2,r
0.711753567,i2,r
0.6304167328,i2,r
0.714896719,i2,r
0.6845083152,mfp2,r
0.7426924114,mfp2,r
0.6482502896,mfp2,r
0.744829192,mfp2,r
0.6611707484,mfp2,r
0.8295648378,mfp2,r
0.6469346492,mfp2,r
0.6926486772,mfp2,r
0.6030178752,mfp2,r
0.7206885284,mfp2,r
0.6834494669,r2,r
0.7451832163,r2,r
0.6506079047,r2,r
0.7440778075,r2,r
0.6600036573,r2,r
0.7623019497,r2,r
0.6479682785,r2,r
0.6935478777,r2,r
0.6018656493,r2,r
0.7198674055,r2,r
0.7175290837,p2,r
0.7890667751,p2,r
0.6631163271,p2,r
0.7867764379,p2,r
0.7357886903,p2,r
0.8323420747,p2,r
0.7354889931,p2,r
0.8002700937,p2,r
0.6340434085,p2,r
0.7336123225,p2,r
1.320914985,f3,r
1.31589784,f3,r
1.300519222,f3,r
1.268189239,f3,r
1.305698724,f3,r
1.304461587,f3,r
1.290442037,f3,r
1.320050367,f3,r
1.287463106,f3,r
1.306923742,f3,r
0.1631015985,i3,r
0.1618372914,i3,r
0.2512136418,i3,r
0.2483788,i3,r
0.1902505535,i3,r
0.1303649745,i3,r
0.1285360037,i3,r
0.1399478076,i3,r
0.1954857466,i3,r
0.2178155571,i3,r
0.1762208142,mfp3,r
0.1399085829,mfp3,r
0.2255141567,mfp3,r
0.2880884489,mfp3,r
0.1878337474,mfp3,r
0.0970308387,mfp3,r
0.1538001241,mfp3,r
0.1471934719,mfp3,r
0.1827522986,mfp3,r
0.2738678371,mfp3,r
0.169825329,r3,r
0.1609127048,r3,r
0.2225579576,r3,r
0.290549192,r3,r
0.1808101488,r3,r
0.1075038578,r3,r
0.150325161,r3,r
0.1412713474,r3,r
0.1711144988,r3,r
0.2949849838,r3,r
1.209194544,p3,r
1.222513313,p3,r
1.160624169,p3,r
1.452717045,p3,r
1.165949345,p3,r
1.340439785,p3,r
1.225950476,p3,r
1.208746249,p3,r
1.09724715,p3,r
1.403794754,p3,r
3.991859011,f4,c
4.080810774,f4,c
4.049829795,f4,c
4.048134395,f4,c
4.028765601,f4,c
3.957947333,f4,c
4.018328191,f4,c
4.084957822,f4,c
3.99549968,f4,c
4.022647879,f4,c
1.283779928,i4,c
1.87441387,i4,c
1.770113956,i4,c
1.702669627,i4,c
1.67122054,i4,c
1.186794126,i4,c
1.354589977,i4,c
1.447888049,i4,c
1.694703426,i4,c
1.745973602,i4,c
6.609438464,mfp4,c
5.368383523,mfp4,c
5.605100394,mfp4,c
6.430054368,mfp4,c
7.062582985,mfp4,c
1.63257536,mfp4,c
6.999086148,mfp4,c
6.147163321,mfp4,c
6.002469758,mfp4,c
5.606554225,mfp4,c
