All,Internal,Leaves
0.4021145149,0.4021145149,0.0046952964
0.5525589397,0.5525589397,0.0041513042
0.0053899242,0.0053899242,0.0011298484
0.0057171632,0.0057171632,0.0004221111
0.0046952964,0.0037355379,7.28E-05
0.0037355379,0.0043471762,2.57E-06
0.0041513042,0.020575282,0.0002840327
0.0043471762,0.0003107953,8.14E-05
0.0011298484,0.0001024449,5.14E-06
0.0004221111,2.57E-06,2.57E-06
0.020575282,8.40E-05,5.63E-05
0.0003107953,0.0001607881,0.0002556869
7.28E-05,5.43E-05,0.0002157474
2.57E-06,0.0003259593,0.0003051892
0.0001024449,0.0002160225,2.57E-06
2.57E-06,5.20E-06,5.91E-05
8.40E-05,5.63E-05,2.57E-06
0.0002840327,4.96E-05,0.0001080031
8.14E-05,7.61E-05,0.0001063551
0.0001607881,2.57E-06,0.0003839715
5.14E-06,0.0001077877,0.0005380508
2.57E-06,0.0002711121,0.0003234288
5.43E-05,0.0001158322,0.0003368681
0.0003259593,5.39E-05,2.57E-06
5.63E-05,2.57E-06,2.57E-06
0.0002160225,1.15E-05,2.57E-06
5.20E-06,3.27E-05,0.0002236346
5.63E-05,2.57E-06,0.0002810961
4.96E-05,7.71E-06,0.0001086162
0.0002556869,5.64E-05,5.10E-06
7.61E-05,5.64E-05,0.0001083402
0.0002157474,1.03E-05,0.0002250839
2.57E-06,5.14E-06,0.000216775
0.0003051892,1.28E-05,0.0003297976
2.57E-06,2.06E-05,0.0004350948
0.0001077877,2.57E-06,0.0001620049
0.0002711121,5.39E-05,2.57E-06
5.91E-05,6.16E-05,1.62E-04
2.57E-06,2.88E-06,0.0001786995
0.0001158322,5.45E-06,5.93E-05
0.0001080031,1.28E-05,5.14E-06
0.0001063551,0.000107809,0.0001084281
5.39E-05,5.44E-05,0.0001103864
0.0003839715,0.000108421,1.03E-05
0.0005380508,2.57E-06,0.0001106033
2.57E-06,2.57E-06,1.14E-05
1.15E-05,5.87E-05,7.71E-06
3.27E-05,0.0002156736,5.14E-06
0.0003234288,0.0002711791,5.41E-05
2.57E-06,2.64E-06,2.57E-06
7.71E-06,2.57E-06,5.66E-05
5.64E-05,5.14E-06,0.0001162489
5.64E-05,2.57E-06,2.57E-06
1.03E-05,7.71E-06,2.57E-06
5.14E-06,2.57E-06,0.00049469
1.28E-05,5.14E-06,0.0001708561
2.06E-05,0.0002409383,1.80E-05
0.0003368681,2.57E-06,0.0001101636
2.57E-06,5.12E-06,2.57E-06
5.39E-05,2.57E-06,2.57E-06
6.16E-05,5.12E-06,0.000545363
2.57E-06,2.57E-06,5.68E-05
2.57E-06,2.57E-06,0.0001123593
2.57E-06,2.57E-06,6.73E-05
2.88E-06,5.14E-06,2.57E-06
5.45E-06,0.0001653443,2.57E-06
0.0002236346,2.57E-06,5.40E-05
1.28E-05,0.0004382083,7.25E-05
0.0002810961,2.57E-06,0.0004365262
0.0001086162,7.64E-06,2.57E-06
0.000107809,5.65E-05,5.66E-05
5.44E-05,6.16E-05,5.40E-05
5.10E-06,2.57E-06,0.0003778489
0.000108421,5.14E-06,0.0003267549
0.0001083402,2.47E-06,0.000227958
2.57E-06,2.04E-06,1.03E-05
0.0002250839,5.14E-06,5.14E-06
0.000216775,2.64E-06,0.0003289776
2.57E-06,1.25E-05,0.0001654222
0.0003297976,0.0001640634,0.0002751317
4.35E-04,0.0001078249,0.0003267951
0.0001620049,0.0001080368,0.0001614379
2.57E-06,0.0002164336,2.57E-06
0.0001623368,2.34E-06,0.0003194769
5.87E-05,6.49E-05,0.0002165285
0.0002156736,5.72E-05,0.0001608642
0.0001786995,2.88E-06,0.0004841045
5.93E-05,0.0006032394,0.0005513181
0.0002711791,0.0001661294,0.0010870987
5.14E-06,0.0001075692,0.0005453128
0.0001084281,0.004045378,0.0002725587
2.64E-06,2.57E-06,5.68E-05
2.57E-06,2.57E-06,0.000108087
0.0001103864,0.3875418545,0.4138652734
5.14E-06,0.02447843987,0.3864942471
1.03E-05,1.000055,0.0001132391
2.57E-06,0.884475095,5.40E-05
7.71E-06,0.0100346951,0.0187837654
0.0001106033,,0.0206015774
2.57E-06,,0.0040703455
1.14E-05,,
7.71E-06,,
5.14E-06,,
0.0002409383,,
5.14E-06,,
5.41E-05,,
2.57E-06,,
5.12E-06,,
2.57E-06,,
2.57E-06,,
5.66E-05,,
5.12E-06,,
0.0001162489,,
2.57E-06,,
2.57E-06,,
2.57E-06,,
2.57E-06,,
0.00049469,,
0.0001708561,,
2.57E-06,,
1.80E-05,,
5.14E-06,,
0.0001653443,,
0.0001101636,,
2.57E-06,,
0.0004382083,,
2.57E-06,,
2.57E-06,,
2.57E-06,,
7.64E-06,,
0.000545363,,
5.68E-05,,
0.0001123593,,
5.65E-05,,
6.16E-05,,
2.57E-06,,
5.14E-06,,
6.73E-05,,
2.57E-06,,
2.57E-06,,
5.40E-05,,
2.47E-06,,
7.25E-05,,
0.0004365262,,
2.04E-06,,
5.14E-06,,
2.57E-06,,
2.64E-06,,
1.25E-05,,
5.66E-05,,
5.40E-05,,
0.0001640634,,
0.0003778489,,
0.0003267549,,
0.0001078249,,
0.000227958,,
0.0001080368,,
0.0002164336,,
1.03E-05,,
5.14E-06,,
2.34E-06,,
0.0003289776,,
6.49E-05,,
0.0001654222,,
5.72E-05,,
0.0002751317,,
0.0003267951,,
0.0001614379,,
2.57E-06,,
0.0003194769,,
2.88E-06,,
0.0006032394,,
0.0002165285,,
0.0001608642,,
0.0001661294,,
0.0004841045,,
0.0001075692,,
0.0005513181,,
0.0010870987,,
0.004045378,,
0.0005453128,,
2.57E-06,,
0.0002725587,,
2.57E-06,,
5.68E-05,,
0.000108087,,
0.3875418545,,
0.4138652734,,
0.3864942471,,
0.02447843987,,
1.000055,,
0.0001132391,,
5.40E-05,,
0.884475095,,
0.0187837654,,
0.0100346951,,
0.0206015774,,
0.0040703455,,
