All,Internal,Leaves
0.59361257,0.59361257,1.00401373
1.00401373,0.0472565985,0.1995918498
0.0472565985,0.1394679159,0.114568735
0.1995918498,0.7807307243,0.0621506401
0.1394679159,0.0198163252,0.2180301792
0.114568735,0.0044824264,0.1503179653
0.0621506401,0.0026905778,0.1277847598
0.7807307243,0.015882142,0.1279318146
0.0198163252,0.0067380778,0.3775710528
0.2180301792,0.0135755438,0.1864975569
0.0044824264,0.0301284455,0.2141228118
0.1503179653,0.0143021141,0.3059969371
0.0026905778,0.019274057,0.2960456827
0.1277847598,0.0253904418,0.4313711004
0.1279318146,0.0817145904,0.2217552039
0.015882142,0.0149497792,0.1310368051
0.3775710528,0.0980679487,0.1715422257
0.0067380778,0.0237768637,0.1816514252
0.0135755438,0.1050209624,0.1503624457
0.0301284455,0.110188806,0.1939817057
0.1864975569,0.021827543,0.2113169872
0.2141228118,0.0078623686,0.158014814
0.0143021141,0.0094329726,0.2162568428
0.3059969371,0.0169490405,0.4404519811
0.019274057,0.0052813725,0.1839415328
0.0253904418,0.0102807474,0.1524998789
0.0817145904,0.0059978987,0.1565939354
0.2960456827,0.0101269162,0.1883311099
0.0149497792,0.002302465,0.1980327722
0.4313711004,0.0037836893,0.2060853275
0.0980679487,0.0052200422,0.1929659065
0.2217552039,0.0121445531,0.0788619673
0.0237768637,0.0032152016,0.0780360897
0.1050209624,0.0056288614,0.0927736888
0.1310368051,0.007156475,0.1715600693
0.1715422257,0.1084473005,0.228511943
0.110188806,0.0038373068,0.256237458
0.1816514252,0.0036019908,0.1560865546
0.021827543,0.0065762211,0.0756763709
0.0078623686,0.0161296671,0.1212424866
0.1503624457,0.0059266173,0.168672814
0.0094329726,0.0122343296,0.1661835749
0.0169490405,0.0142968494,0.1570307072
0.0052813725,0.0029164191,0.13321804
0.1939817057,0.0026917506,0.1628927656
0.2113169872,0.0040535716,0.1366304955
0.0102807474,0.0034469618,0.1976221961
0.158014814,0.0087147976,0.2181300229
0.0059978987,0.0036629828,0.2035148498
0.2162568428,0.0125084654,0.2183433272
0.0101269162,0.0039423795,0.1889569477
0.4404519811,0.0058138818,0.1424182045
0.1839415328,0.0064241627,0.1338977753
0.002302465,0.0071364012,0.2100937612
0.1524998789,0.014719915,0.1888233706
0.1565939354,0.0474741444,0.2205723884
0.0037836893,0.0041207798,0.1799492955
0.1883311099,0.0064376757,0.2488444867
0.0052200422,0.0563222101,0.1821933146
0.0121445531,0.0949710547,0.1397101044
0.1980327722,0.1339342259,0.1169233195
0.0032152016,0.0553152291,0.203414469
0.2060853275,0.0033153157,0.1188709232
0.0056288614,0.0092729461,0.1122679385
0.1929659065,0.0033508198,0.2846082037
0.007156475,0.0024996723,0.1261923824
0.1084473005,0.0022118955,0.0768663776
0.0788619673,0.0026135487,0.0793252122
0.0038373068,0.0038332511,0.2307760932
0.0780360897,0.0241558538,0.1684984717
0.0927736888,0.0102119011,0.103674487
0.1715600693,0.06731661,0.1432460177
0.0036019908,0.1177000865,0.1738838579
0.228511943,0.1040381095,0.1445388785
0.0065762211,0.0102231819,0.1929923369
0.256237458,0.0218318289,0.2111699994
0.0161296671,0.0203923574,0.2470946818
0.0059266173,0.0301473112,0.1819127474
0.0122343296,0.0194393656,0.1249129091
0.1560865546,0.0034309581,0.181659367
0.0142968494,0.0214916246,0.157047946
0.0756763709,0.0829823267,0.1385522842
0.1212424866,0.0049083674,0.1596538484
0.0029164191,0.0264940227,0.2480607195
0.0026917506,0.0040472526,0.1829063542
0.168672814,0.0188152028,0.326279419
0.1661835749,0.0309987895,0.1887885175
0.0040535716,0.0144537197,0.186135194
0.1570307072,0.0092265548,0.0958761883
0.0034469618,0.0096476107,0.1472767919
0.0087147976,0.07576029,0.2118468216
0.13321804,0.0059857111,0.1551235149
0.1628927656,0.0363585282,0.1634142978
0.1366304955,0.0149209927,0.2135297856
0.0036629828,0.1486173567,0.193337376
0.0125084654,0.0515777052,0.207940411
0.1976221961,0.0045286088,0.1412322742
0.2181300229,0.0123396019,0.2223823566
0.0039423795,,0.2127362855
0.2035148498,,0.1540287984
0.0058138818,,
0.2183433272,,
0.0064241627,,
0.1889569477,,
0.0071364012,,
0.1424182045,,
0.1338977753,,
0.014719915,,
0.2100937612,,
0.0474741444,,
0.0041207798,,
0.1888233706,,
0.0064376757,,
0.2205723884,,
0.0563222101,,
0.1799492955,,
0.0949710547,,
0.1339342259,,
0.2488444867,,
0.1821933146,,
0.0553152291,,
0.1397101044,,
0.0033153157,,
0.1169233195,,
0.0092729461,,
0.203414469,,
0.0033508198,,
0.0024996723,,
0.1188709232,,
0.1122679385,,
0.0022118955,,
0.2846082037,,
0.0026135487,,
0.1261923824,,
0.0038332511,,
0.0768663776,,
0.0793252122,,
0.0241558538,,
0.0102119011,,
0.2307760932,,
0.06731661,,
0.1177000865,,
0.1040381095,,
0.0102231819,,
0.0218318289,,
0.1684984717,,
0.0203923574,,
0.0301473112,,
0.103674487,,
0.1432460177,,
0.1738838579,,
0.0194393656,,
0.1445388785,,
0.0034309581,,
0.0214916246,,
0.0829823267,,
0.1929923369,,
0.2111699994,,
0.2470946818,,
0.0049083674,,
0.0264940227,,
0.1819127474,,
0.1249129091,,
0.0040472526,,
0.181659367,,
0.0188152028,,
0.0309987895,,
0.157047946,,
0.1385522842,,
0.1596538484,,
0.0144537197,,
0.2480607195,,
0.1829063542,,
0.326279419,,
