numbers,metrics,run
0.9877635032,f1,r
0.9895831293,f1,r
0.98715307,f1,r
0.9935120775,f1,r
0.9907455689,f1,r
0.9902310765,f1,r
0.9896899261,f1,r
0.9909613598,f1,r
0.9926485816,f1,r
0.9928256377,f1,r
0.9986308986,i1,r
0.9994318624,i1,r
0.998669986,i1,r
0.9996969352,i1,r
0.9992778056,i1,r
0.9995567032,i1,r
0.9993231913,i1,r
0.9995269272,i1,r
0.9994209588,i1,r
0.9996506019,i1,r
0.9991658754,mfp1,r
0.9998688589,mfp1,r
0.9995705967,mfp1,r
0.9990664456,mfp1,r
0.9996148032,mfp1,r
0.9990990245,mfp1,r
0.9997278105,mfp1,r
0.9994830287,mfp1,r
0.9994480509,mfp1,r
0.9996108977,mfp1,r
0.998921271,r1,r
0.9998294197,r1,r
0.999442896,r1,r
0.9993786375,r1,r
0.9996145987,r1,r
0.9997360211,r1,r
0.9997211169,r1,r
0.9995851614,r1,r
0.9994787051,r1,r
0.9996541114,r1,r
0.9985903738,p1,r
0.9996765653,p1,r
0.9990724289,p1,r
0.9996399009,p1,r
0.9994648739,p1,r
0.9994722755,p1,r
0.9995550793,p1,r
0.9995153907,p1,r
0.9993921224,p1,r
0.9996877648,p1,r
0.9850315451,f2,r
0.9806179263,f2,r
0.984585037,f2,r
0.9890628981,f2,r
0.9839398316,f2,r
0.9846295303,f2,r
0.9879694395,f2,r
0.9855164694,f2,r
0.9834637927,f2,r
0.9878668323,f2,r
0.9996443546,i2,r
0.9993875834,i2,r
0.9998115225,i2,r
0.9993849142,i2,r
0.9995631613,i2,r
0.9993996893,i2,r
0.9995972161,i2,r
0.9996713652,i2,r
0.9997712891,i2,r
0.9997152509,i2,r
0.9996420688,mfp2,r
0.9995081757,mfp2,r
0.9998106696,mfp2,r
0.9993782817,mfp2,r
0.9995636594,mfp2,r
0.9995633161,mfp2,r
0.9995972779,mfp2,r
0.9996782255,mfp2,r
0.9997684808,mfp2,r
0.9997121148,mfp2,r
0.9996437428,r2,r
0.9995129137,r2,r
0.9998133012,r2,r
